id,path,title,type,category,status,bytes
FW-VER-004,03_SESSION_UND_VERSIONENSPUR/FW-VER-004__Verbesserungsring_v14.2.md,Verbesserungsring v14.2,source,VER,BESTAETIGT,3204
FW-VER-005,03_SESSION_UND_VERSIONENSPUR/FW-VER-005__Bauring_2_Umsetzung_nach_dem_MAXUS++++++++++++++++++++-Auftrag.md,Bauring 2 – Umsetzung nach dem MAXUS++++++++++++++++++++-Auftrag,source,VER,BESTAETIGT,3601
FW-ORG-001,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-001__Integration_der_zwolf_Spielorgane_in_jede_Questfamilie_und_weitere_Statusabsch.md,Integration der zwölf Spielorgane in jede Questfamilie und weitere Statusabschnitte,source,ORG,BESTAETIGT,4463
FW-ORG-002,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-002__MAXUS++++++++++++++++_Dustokologie_Start-_und_Freigabevertrag.md,MAXUS++++++++++++++++ Dustökologie – Start- und Freigabevertrag,source,ORG,BESTAETIGT,3473
FW-ORG-003,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-003__Zwolf_analysierte_Spiele_Durchsetzungsvertrag_fur_Bauring_3_und_weitere_Status.md,Zwölf analysierte Spiele – Durchsetzungsvertrag für Bauring 3 und weitere Statusabschnitte,source,ORG,BESTAETIGT,5666
FW-ORG-004,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-004__Anti-Pokemon-Fanart-_und_Eigenidentitats-Gate.md,Anti-Pokémon-Fanart- und Eigenidentitäts-Gate,source,ORG,BESTAETIGT,3157
FW-ORG-005,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-005__Flextrawurst_MAXUS++++++++++++++++_Bauauftrag_fur_Bauring_2_v15.md,Flextrawurst MAXUS++++++++++++++++ – Bauauftrag für Bauring 2 v15,source,ORG,BESTAETIGT,3527
FW-ORG-006,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-006__Zwolf-Spiele-Blindtest.md,Zwölf-Spiele-Blindtest,source,ORG,BESTAETIGT,3922
FW-ORG-007,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-007__MAXUS-Bauring_1_3_33_Die_erste_lebende_Schleife.md,MAXUS-Bauring 1 – 3:33 · Die erste lebende Schleife,source,ORG,BESTAETIGT,4303
FW-ORG-008,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-008__Die_zwolf_Spielorgane_konkreter_Nachweis_im_Ring.md,Die zwölf Spielorgane – konkreter Nachweis im Ring,source,ORG,BESTAETIGT,3594
FW-ORG-009,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-009__Audit_der_zwolf_analysierten_Spiele.md,Audit der zwölf analysierten Spiele,source,ORG,BESTAETIGT,5312
FW-ORG-010,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-010__Pokemon-Fanart-Risiko_und_Flextrawurst-Eigenidentitat.md,Pokémon-Fanart-Risiko und Flextrawurst-Eigenidentität,source,ORG,BESTAETIGT,4396
FW-ORG-011,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-011__Gate_00_Baseline-Neulesung_und_unveranderte_v17-Prufung.md,Gate 00 · Baseline-Neulesung und unveränderte v17-Prüfung,source,ORG,BESTAETIGT,27530
FW-ORG-012,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-012__Nachbau-Gegenprufung.md,Nachbau-Gegenprüfung,source,ORG,BESTAETIGT,32402
FW-ORG-013,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-013__Gate_01_Eingangsfrage_Endzukunftsschock_und_Kontaktbruch.md,"Gate 01 · Eingangsfrage, Endzukunftsschock und Kontaktbruch",source,ORG,BESTAETIGT,34896
FW-ORG-014,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-014__Nachbau-Gegenprufung.md,Nachbau-Gegenprüfung,source,ORG,BESTAETIGT,42999
FW-ORG-015,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-015__Quellabschnitt.md,Quellabschnitt,source,ORG,BESTAETIGT,1522
FW-ORG-016,04_SPIELIDENTITAET_UND_ZWOELF_ORGANE/FW-ORG-016__Quellabschnitt.md,Quellabschnitt,source,ORG,BESTAETIGT,1569
FW-DUST-001,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-001__Primarsetzung_Dust_und_mindestens_88.888_Wesen.md,Primärsetzung – Dust und mindestens 88.888 Wesen,source,DUST,BESTAETIGT,3932
FW-DUST-002,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-002__Flextrawurst_MAXUS++++++++++++++++_Dustokologie_Bauring_3_und_weitere_Statusab.md,Flextrawurst MAXUS++++++++++++++++ Dustökologie – Bauring 3 und weitere Statusabschnitte,source,DUST,BESTAETIGT,13704
FW-DUST-003,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-003__Gate_00_Baseline_vor_dem_neuen_Bau.md,Gate 00 – Baseline vor dem neuen Bau,source,DUST,BESTAETIGT,3093
FW-DUST-004,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-004__F-1350_TEILWEISE.md,F-1350 · TEILWEISE,source,DUST,BESTAETIGT,39626
FW-DUST-005,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-005__F-1398_TEILWEISE.md,F-1398 · TEILWEISE,source,DUST,BESTAETIGT,39930
FW-DUST-006,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-006__F-1447_TEILWEISE.md,F-1447 · TEILWEISE,source,DUST,BESTAETIGT,39860
FW-DUST-007,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-007__F-1499_TEILWEISE.md,F-1499 · TEILWEISE,source,DUST,BESTAETIGT,40046
FW-DUST-008,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-008__F-1549_TEILWEISE.md,F-1549 · TEILWEISE,source,DUST,BESTAETIGT,39631
FW-DUST-009,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-009__F-1648_TEILWEISE.md,F-1648 · TEILWEISE,source,DUST,BESTAETIGT,40005
FW-DUST-010,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-010__F-1748_TEILWEISE.md,F-1748 · TEILWEISE,source,DUST,BESTAETIGT,39900
FW-DUST-011,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-011__F-1954_TEILWEISE.md,F-1954 · TEILWEISE,source,DUST,BESTAETIGT,39742
FW-DUST-012,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-012__F-2002_TEILWEISE.md,F-2002 · TEILWEISE,source,DUST,BESTAETIGT,40069
FW-DUST-013,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-013__F-2051_TEILWEISE.md,F-2051 · TEILWEISE,source,DUST,BESTAETIGT,39991
FW-DUST-014,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-014__F-2101_TEILWEISE.md,F-2101 · TEILWEISE,source,DUST,BESTAETIGT,40080
FW-DUST-015,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-015__F-2151_TEILWEISE.md,F-2151 · TEILWEISE,source,DUST,BESTAETIGT,39551
FW-DUST-016,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-016__F-2252_TEILWEISE.md,F-2252 · TEILWEISE,source,DUST,BESTAETIGT,40112
FW-DUST-017,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-017__F-2351_TEILWEISE.md,F-2351 · TEILWEISE,source,DUST,BESTAETIGT,39617
FW-DUST-018,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-018__F-2447_TEILWEISE.md,F-2447 · TEILWEISE,source,DUST,BESTAETIGT,39527
FW-DUST-019,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-019__F-2547_TEILWEISE.md,F-2547 · TEILWEISE,source,DUST,BESTAETIGT,39803
FW-DUST-020,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-020__D017-Q07_Nachbauprufung.md,D017-Q07 · Nachbauprüfung,source,DUST,BESTAETIGT,39877
FW-DUST-021,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-021__D136-Q01_Nachbauprufung.md,D136-Q01 · Nachbauprüfung,source,DUST,BESTAETIGT,40260
FW-DUST-022,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-022__D136-Q06_D136_Playwright_Automation.md,D136-Q06 · D136 · Playwright/Automation,source,DUST,BESTAETIGT,40281
FW-DUST-023,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-023__Gate_06_88.888_Wesen_Dialoge_Geheimnisse_Beziehungen_und_Perspektivabspaltung.md,"Gate 06 · 88.888 Wesen, Dialoge, Geheimnisse, Beziehungen und Perspektivabspaltung",source,DUST,BESTAETIGT,40066
FW-DUST-024,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-024__K200-Q1_Nachbauprufung.md,K200-Q1 · Nachbauprüfung,source,DUST,BESTAETIGT,4566
FW-DUST-025,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-025__D033_Gegenwartshauptwelt.md,D033 · Gegenwartshauptwelt,source,DUST,BESTAETIGT,39592
FW-DUST-026,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-026__D099_Prozedurale_Ferne.md,D099 · Prozedurale Ferne,source,DUST,BESTAETIGT,39709
FW-DUST-027,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-027__D132_Vergessen_und_Loschen.md,D132 · Vergessen und Löschen,source,DUST,BESTAETIGT,23444
FW-DUST-028,05_DUST_WESEN_BEZIEHUNGEN/FW-DUST-028__Domanenspezifische_Pflichtfragen_150_Bereiche.md,Domänenspezifische Pflichtfragen – 150 Bereiche,source,DUST,BESTAETIGT,39322
FW-WORLD-001,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-001__F-1302_TEILWEISE.md,F-1302 · TEILWEISE,source,WORLD,BESTAETIGT,39450
FW-WORLD-002,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-002__F-1599_TEILWEISE.md,F-1599 · TEILWEISE,source,WORLD,BESTAETIGT,39548
FW-WORLD-003,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-003__F-2201_TEILWEISE.md,F-2201 · TEILWEISE,source,WORLD,BESTAETIGT,39893
FW-WORLD-004,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-004__F-2301_TEILWEISE.md,F-2301 · TEILWEISE,source,WORLD,BESTAETIGT,39722
FW-WORLD-005,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-005__F-2499_TEILWEISE.md,F-2499 · TEILWEISE,source,WORLD,BESTAETIGT,39480
FW-WORLD-006,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-006__D037-Q01_Nachbauprufung.md,D037-Q01 · Nachbauprüfung,source,WORLD,BESTAETIGT,39968
FW-WORLD-007,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-007__Gate_04_Untergrund_Hohlen_Dungeons_Erze_und_Tiefenbau.md,"Gate 04 · Untergrund, Höhlen, Dungeons, Erze und Tiefenbau",source,WORLD,BESTAETIGT,40009
FW-WORLD-008,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-008__K066-Q3_Nachbauprufung.md,K066-Q3 · Nachbauprüfung,source,WORLD,BESTAETIGT,8857
FW-WORLD-009,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-009__D137-Q02_Nachbauprufung.md,D137-Q02 · Nachbauprüfung,source,WORLD,BESTAETIGT,27291
FW-WORLD-010,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-010__Gate_07_4.096_Vergangenheitsadressen_und_333_ruckwarts_gelesene_Zukunftsschrit.md,Gate 07 · 4.096 Vergangenheitsadressen und 333 rückwärts gelesene Zukunftsschritte,source,WORLD,BESTAETIGT,39771
FW-WORLD-011,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-011__K065-Q4_K065_UI_Erklarung_Zeit.md,K065-Q4 · K065 · UI/Erklärung × Zeit,source,WORLD,BESTAETIGT,39627
FW-WORLD-012,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-012__D048-Q08_Nachbauprufung.md,D048-Q08 · Nachbauprüfung,source,WORLD,BESTAETIGT,37025
FW-WORLD-013,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-013__Gate_10_Epische_Grogeografie_Stadte_Dorfer_und_Tiefeneingange.md,"Gate 10 · Epische Großgeografie, Städte, Dörfer und Tiefeneingänge",source,WORLD,BESTAETIGT,40068
FW-WORLD-014,06_WELT_GEOGRAFIE_ZEIT_KLIMA/FW-WORLD-014__K035-Q3_K035_Fahrzeuge_Prozedurale_Ferne.md,K035-Q3 · K035 · Fahrzeuge × Prozedurale Ferne,source,WORLD,BESTAETIGT,40014
FW-MOVE-001,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-001__Test_Redteam_Abnahme.md,"Test, Redteam, Abnahme",source,MOVE,BESTAETIGT,20940
FW-MOVE-002,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-002__Pflichtfragenmatrix_120_konkrete_Fragen_und_weitere_Statusabschnitte.md,Pflichtfragenmatrix – 120 konkrete Fragen und weitere Statusabschnitte,source,MOVE,BESTAETIGT,8784
FW-MOVE-003,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-003__Wesentliche_Systemkollisionen_vier_Wege_und_Entscheidung.md,Wesentliche Systemkollisionen – vier Wege und Entscheidung,source,MOVE,BESTAETIGT,4733
FW-MOVE-004,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-004__Architektur_und_Datenmodelle.md,Architektur und Datenmodelle,source,MOVE,BESTAETIGT,2947
FW-MOVE-005,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-005__F-0197_BESTANDEN.md,F-0197 · BESTANDEN,source,MOVE,BESTAETIGT,39591
FW-MOVE-006,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-006__F-0631_BESTANDEN.md,F-0631 · BESTANDEN,source,MOVE,BESTAETIGT,40039
FW-MOVE-007,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-007__F-0678_TEILWEISE.md,F-0678 · TEILWEISE,source,MOVE,BESTAETIGT,40152
FW-MOVE-008,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-008__F-1061_TEILWEISE.md,F-1061 · TEILWEISE,source,MOVE,BESTAETIGT,39232
FW-MOVE-009,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-009__F-1253_TEILWEISE.md,F-1253 · TEILWEISE,source,MOVE,BESTAETIGT,39639
FW-MOVE-010,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-010__F-1697_TEILWEISE.md,F-1697 · TEILWEISE,source,MOVE,BESTAETIGT,40051
FW-MOVE-011,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-011__F-1798_TEILWEISE.md,F-1798 · TEILWEISE,source,MOVE,BESTAETIGT,39554
FW-MOVE-012,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-012__F-1853_TEILWEISE.md,F-1853 · TEILWEISE,source,MOVE,BESTAETIGT,40034
FW-MOVE-013,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-013__F-1904_TEILWEISE.md,F-1904 · TEILWEISE,source,MOVE,BESTAETIGT,39806
FW-MOVE-014,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-014__F-2399_TEILWEISE.md,F-2399 · TEILWEISE,source,MOVE,BESTAETIGT,39255
FW-MOVE-015,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-015__Gate_02_Krallenhaken_Fallschirm_und_physikgekoppeltes_Traversal.md,"Gate 02 · Krallenhaken, Fallschirm und physikgekoppeltes Traversal",source,MOVE,BESTAETIGT,33548
FW-MOVE-016,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-016__Nachbau-Gegenprufung.md,Nachbau-Gegenprüfung,source,MOVE,BESTAETIGT,40328
FW-MOVE-017,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-017__D062-Q05_Nachbauprufung.md,D062-Q05 · Nachbauprüfung,source,MOVE,BESTAETIGT,40004
FW-MOVE-018,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-018__Gate_05_Fahrzeugfamilien_und_raumliche_Fahrzeug-Testzone.md,Gate 05 · Fahrzeugfamilien und räumliche Fahrzeug-Testzone,source,MOVE,BESTAETIGT,39847
FW-MOVE-019,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-019__K032-Q4_K032_Wasserfahrzeuge_Okologie.md,K032-Q4 · K032 · Wasserfahrzeuge × Ökologie,source,MOVE,BESTAETIGT,39755
FW-MOVE-020,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-020__K033-Q1_Nachbauprufung.md,K033-Q1 · Nachbauprüfung,source,MOVE,BESTAETIGT,34391
FW-MOVE-021,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-021__D130-Q01_Nachbauprufung.md,D130-Q01 · Nachbauprüfung,source,MOVE,BESTAETIGT,36093
FW-MOVE-022,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-022__Gate_09_Taktische_Pause_Ausrustung_Kampf_Loot_und_dialogreiche_Nebenquests.md,"Gate 09 · Taktische Pause, Ausrüstung, Kampf, Loot und dialogreiche Nebenquests",source,MOVE,BESTAETIGT,40144
FW-MOVE-023,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-023__K045-Q5_K045_Fehlurteil_Beziehungen.md,K045-Q5 · K045 · Fehlurteil × Beziehungen,source,MOVE,BESTAETIGT,40155
FW-MOVE-024,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-024__Cross-System-Kollisionsmatrix_200_Paare.md,Cross-System-Kollisionsmatrix – 200 Paare,source,MOVE,BESTAETIGT,39644
FW-MOVE-025,07_BEWEGUNG_FAHRZEUGE_KAMPF_LOOT/FW-MOVE-025__D066_Fahrzeugbiografie.md,D066 · Fahrzeugbiografie,source,MOVE,BESTAETIGT,39084
FW-BUILD-001,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-001__222_Pflichtfragen_beantwortet_vor_dem_Bau.md,222 Pflichtfragen – beantwortet vor dem Bau,source,BUILD,BESTAETIGT,38750
FW-BUILD-002,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-002__Architektur_vor_dem_Bau.md,Architektur vor dem Bau,source,BUILD,BESTAETIGT,3328
FW-BUILD-003,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-003__F-0051_TEILWEISE.md,F-0051 · TEILWEISE,source,BUILD,BESTAETIGT,39298
FW-BUILD-004,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-004__F-0102_TEILWEISE.md,F-0102 · TEILWEISE,source,BUILD,BESTAETIGT,39486
FW-BUILD-005,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-005__F-0150_TEILWEISE.md,F-0150 · TEILWEISE,source,BUILD,BESTAETIGT,39330
FW-BUILD-006,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-006__F-0245_TEILWEISE.md,F-0245 · TEILWEISE,source,BUILD,BESTAETIGT,39703
FW-BUILD-007,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-007__F-0298_TEILWEISE.md,F-0298 · TEILWEISE,source,BUILD,BESTAETIGT,39023
FW-BUILD-008,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-008__F-0439_TEILWEISE.md,F-0439 · TEILWEISE,source,BUILD,BESTAETIGT,39942
FW-BUILD-009,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-009__F-0488_TEILWEISE.md,F-0488 · TEILWEISE,source,BUILD,BESTAETIGT,39701
FW-BUILD-010,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-010__F-0537_TEILWEISE.md,F-0537 · TEILWEISE,source,BUILD,BESTAETIGT,39795
FW-BUILD-011,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-011__F-0823_TEILWEISE.md,F-0823 · TEILWEISE,source,BUILD,BESTAETIGT,39729
FW-BUILD-012,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-012__F-0870_TEILWEISE.md,F-0870 · TEILWEISE,source,BUILD,BESTAETIGT,39435
FW-BUILD-013,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-013__F-0917_TEILWEISE.md,F-0917 · TEILWEISE,source,BUILD,BESTAETIGT,39706
FW-BUILD-014,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-014__F-0965_TEILWEISE.md,F-0965 · TEILWEISE,source,BUILD,BESTAETIGT,39224
FW-BUILD-015,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-015__F-1013_TEILWEISE.md,F-1013 · TEILWEISE,source,BUILD,BESTAETIGT,39884
FW-BUILD-016,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-016__F-1109_TEILWEISE.md,F-1109 · TEILWEISE,source,BUILD,BESTAETIGT,39669
FW-BUILD-017,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-017__F-1156_TEILWEISE.md,F-1156 · TEILWEISE,source,BUILD,BESTAETIGT,39712
FW-BUILD-018,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-018__Vollstandiger_Fragenkorper_Zuordnung_und_Nachbauantworten.md,Vollständiger Fragenkörper · Zuordnung und Nachbauantworten,source,BUILD,BESTAETIGT,39385
FW-BUILD-019,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-019__D054-Q08_Nachbauprufung.md,D054-Q08 · Nachbauprüfung,source,BUILD,BESTAETIGT,39845
FW-BUILD-020,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-020__D134-Q05_D134_Testmodus.md,D134-Q05 · D134 · Testmodus,source,BUILD,BESTAETIGT,40271
FW-BUILD-021,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-021__D136-Q05_Nachbauprufung.md,D136-Q05 · Nachbauprüfung,source,BUILD,BESTAETIGT,30899
FW-BUILD-022,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-022__Gate_11_Modulare_Fahrzeuge_Waffen_Kleidung_und_Rustungen.md,"Gate 11 · Modulare Fahrzeuge, Waffen, Kleidung und Rüstungen",source,BUILD,BESTAETIGT,39858
FW-BUILD-023,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-023__D062-Q06_Nachbauprufung.md,D062-Q06 · Nachbauprüfung,source,BUILD,BESTAETIGT,39763
FW-BUILD-024,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-024__D104-Q06_D104_Zeitadressen.md,D104-Q06 · D104 · Zeitadressen,source,BUILD,BESTAETIGT,39980
FW-BUILD-025,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-025__D135-Q05_Nachbauprufung.md,D135-Q05 · Nachbauprüfung,source,BUILD,BESTAETIGT,39761
FW-BUILD-026,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-026__Fortschreibung_nach_Gate_13H.md,Fortschreibung nach Gate 13H,source,BUILD,BESTAETIGT,40295
FW-BUILD-027,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-027__K103-Q5_K103_Okologie_Luftfahrzeuge.md,K103-Q5 · K103 · Ökologie × Luftfahrzeuge,source,BUILD,BESTAETIGT,39650
FW-BUILD-028,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-028__K120-Q1_Nachbauprufung.md,K120-Q1 · Nachbauprüfung,source,BUILD,BESTAETIGT,13029
FW-BUILD-029,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-029__K044_Ermittlung_Historische_Rekonstruktion.md,K044 · Ermittlung × Historische Rekonstruktion,source,BUILD,BESTAETIGT,39015
FW-BUILD-030,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-030__K085_Beziehungsabbilder_Wesensatlas.md,K085 · Beziehungsabbilder × Wesensatlas,source,BUILD,BESTAETIGT,39544
FW-BUILD-031,08_BAUEN_HANDWERK_MODULARITAET/FW-BUILD-031__K168_Abspaltungen_Reintegration.md,K168 · Abspaltungen × Reintegration,source,BUILD,BESTAETIGT,31427
FW-SKILL-001,09_SKILLS_MASTERIES_MAGIE_AI/FW-SKILL-001__Ringrelevante_Pflichtfragen_beantworteter_MAXUS-Auszug_und_weitere_Statusabsch.md,Ringrelevante Pflichtfragen – beantworteter MAXUS-Auszug und weitere Statusabschnitte,source,SKILL,BESTAETIGT,13048
FW-SKILL-002,09_SKILLS_MASTERIES_MAGIE_AI/FW-SKILL-002__Datei-fur-Datei-Lesenachweis.md,Datei-für-Datei-Lesenachweis,source,SKILL,BESTAETIGT,41717
